,ISODATA,Li,Mean,Minimum,Otsu,Triangle
000_00006,0.3775811791419983,0.28461071848869324,0.20778726041316986,0.47217369079589844,0.3775811791419983,0.13920801877975464
000_00012,0.37633270025253296,0.27880212664604187,0.18671585619449615,0.7230238914489746,0.37633270025253296,0.131387859582901
000_00019,0.3493872582912445,0.25791478157043457,0.17039494216442108,0.6251225471496582,0.3493872582912445,0.14718137681484222
000_00023,0.3876378536224365,0.2912471294403076,0.2112472951412201,0.5346047878265381,0.39140623807907104,0.131387859582901
000_00024,0.3417738974094391,0.2555080056190491,0.18788714706897736,0.4923253655433655,0.3453584611415863,0.11953125149011612
000_00025,0.3612591624259949,0.26546669006347656,0.18065772950649261,0.5157628059387207,0.3612591624259949,0.131387859582901
000_00026,0.3964996635913849,0.29765355587005615,0.2154444307088852,0.4873085021972656,0.3964996635913849,0.13920801877975464
000_00033,0.2968137264251709,0.21836064755916595,0.15285766124725342,0.6845588684082031,0.2968137264251709,0.11151960492134094
000_00034,0.38262099027633667,0.28986939787864685,0.22109726071357727,0.4013863205909729,0.38262099027633667,0.12741267681121826
000_00036,0.3519837558269501,0.2677169442176819,0.1966996043920517,0.5972809195518494,0.35564491152763367,0.14695924520492554
000_00037,0.3788679242134094,0.28660672903060913,0.21026529371738434,0.5665211081504822,0.3788679242134094,0.12741267681121826
000_00047,0.35606616735458374,0.2625780999660492,0.16892771422863007,0.652389645576477,0.35606616735458374,0.14712008833885193
